YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2003,FLA KEYS,SPA SPE.,0,0,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SPA VIRI,5238113.554931501,309940647400.76355,158,295,16145,3654480.4355109693,0
2004,FLA KEYS,CRY ROSE,879384.9828215607,125608312024.52763,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,NIC USTA,13143.604663280908,80300483.88053018,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA COEL,294159.5513497369,9940654367.788343,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA COER,2065852.373262691,530583894141.1695,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA GUAC,497454.23892593454,40166643029.552605,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA ISER,39785924.417434745,17140627819958.545,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA SPE.,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA TAEN,527242.6037247083,12539694460.690067,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SCA VETU,417635.9181854502,23911492261.49436,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA ATOM,4315753.720597383,369015556131.6713,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA AURO,13970886.200186592,1174111149798.4814,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA CHRY,1405936.7235918709,202986522584.1838,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA RADI,612926.9949940826,53067298563.83006,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA RUBR,1264312.9097544157,156237771734.87112,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA SPE.,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,SPA VIRI,5729128.094673778,346685607263.7114,90,170,16145,3654480.4355109693,0
2005,FLA KEYS,CRY ROSE,44584.391277244606,421236817.5154678,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,NIC USTA,11052.612749736114,122199834.80819084,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA COEL,165690.6545840949,2941529816.2805095,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA COER,736046.6661958919,63580399508.748566,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA GUAC,360816.7608728346,10020927222.938555,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA ISER,28278053.006023586,3755910125730.231,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA SPE.,0,0,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA TAEN,1310161.1882843392,89774842078.41673,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SCA VETU,126494.75204928161,2400611670.9696913,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA ATOM,4800188.984943826,758268109433.5444,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA AURO,14440014.487225948,1050386033270.7981,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA CHRY,1449180.3948322188,74767085229.3635,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA RADI,193766.52803127648,4563808191.179235,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA RUBR,1225121.6729722803,121817497124.86899,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA SPE.,22105.225499472228,488799339.23276335,187,363,16145,3654480.4355109693,0
2005,FLA KEYS,SPA VIRI,5666447.091179967,433505178377.54144,187,363,16145,3654480.4355109693,0
2006,FLA KEYS,CRY ROSE,749576.7678625445,36531278940.57046,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,NIC USTA,192144.95263290987,5560282892.857041,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA COEL,108700.40675207229,1251057463.7326233,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA COER,625623.7203645702,16008504358.676865,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA GUAC,275544.04460873385,2614332701.7678804,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA ISER,20692737.49135619,2366056499140.275,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA SPE.,21799.26224303691,310497399.98264384,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA TAEN,3183758.451817365,591318296854.9767,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SCA VETU,81733.37537174519,502821310.8213978,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA ATOM,4737861.469931443,322462784002.26794,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA AURO,15004001.719225848,1060951557351.2885,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA CHRY,813228.08664575,28824309318.942616,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA RADI,219111.8875675145,4667382515.175316,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA RUBR,1299110.9927632732,83479242615.6354,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA SPE.,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,SPA VIRI,4536725.4947425295,176889904458.1213,231,415,16145,3654480.4355109693,0
2007,FLA KEYS,CRY ROSE,754586.7376202771,14159381081.84494,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,NIC USTA,12708.466627971206,90199821.94632031,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA COEL,813404.4221383334,35309817695.733734,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA COER,838800.9862440539,27946067081.29056,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA GUAC,581594.3353094693,15870948585.989548,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA ISER,25021409.96629081,2526653925408.9243,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA SPE.,0,0,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA TAEN,1308209.2353593044,68883832577.47787,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SCA VETU,179849.32958179445,1528639389.8048015,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA ATOM,5042089.77215198,259321807676.53235,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA AURO,16858302.502677143,520510125433.0407,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA CHRY,1699195.337487502,46557171108.531166,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA RADI,451509.07082332054,16470449677.617592,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA RUBR,1015828.2422094711,23591930344.255997,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA SPE.,0,0,242,468,16145,3654480.4355109693,0
2007,FLA KEYS,SPA VIRI,5071527.205282532,208003891259.60236,242,468,16145,3654480.4355109693,0
2008,FLA KEYS,CRY ROSE,1236418.653154148,26804020108.809986,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,NIC USTA,171822.8181393059,3657921479.5078034,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA COEL,345067.08896037535,3424201235.489531,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA COER,967678.2674668379,48735279700.45501,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA GUAC,422533.0216053493,5259939592.530473,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA ISER,27901210.770175867,2105434289066.4373,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA SPE.,367375.01611606183,79291355812.39388,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA TAEN,2070084.8087991553,73185074376.49582,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SCA VETU,507889.3067486587,6509536115.0221815,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA ATOM,3427134.689860727,90292319017.6875,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA AURO,21154070.242168404,865818251538.8496,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA CHRY,2230520.600657669,107260344296.26314,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA RADI,391488.3625603378,8435777522.654981,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA RUBR,2269019.931217891,82023411878.11874,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA SPE.,17790.177038269565,134505650.09858483,289,568,16145,3654480.4355109693,0
2008,FLA KEYS,SPA VIRI,4891974.199756494,103848141160.29343,289,568,16145,3654480.4355109693,0
2009,FLA KEYS,CRY ROSE,837448.7793290915,18937700108.2782,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,NIC USTA,235108.800440665,4329062854.921368,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA COEL,307720.17320652783,2746278031.5868554,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA COER,652922.5215541418,8532314090.416955,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA GUAC,575574.7957590523,8002270132.878131,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA ISER,41445718.188292,5101355251250.275,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA SPE.,0,0,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA TAEN,2675284.4911345164,74107051079.22403,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SCA VETU,341727.9471910046,2697307403.6906466,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA ATOM,7063218.227984561,302041774510.1167,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA AURO,20626766.671007313,689953897911.9783,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA CHRY,2741009.596499248,109235016080.81766,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA RADI,1187971.7338279565,28170307165.737446,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA RUBR,1362842.490720986,37507959332.95524,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA SPE.,0,0,406,792,16145,3654480.4355109693,0
2009,FLA KEYS,SPA VIRI,5263222.036275483,91235617941.9032,406,792,16145,3654480.4355109693,0
2010,FLA KEYS,CRY ROSE,842215.5925857134,54040768362.559235,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,NIC USTA,23313.870116885246,260174858.48121604,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA COEL,244473.98233970042,4701350204.005442,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA COER,508316.4752794794,14008965828.09035,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA GUAC,415818.2782507118,14619820194.321442,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA ISER,32568772.768927973,3472480771937.647,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA SPE.,289780.5875283543,16309948788.226011,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA TAEN,1964271.913544429,82587481257.45618,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SCA VETU,100860.86385477535,791851962.2988379,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA ATOM,3388623.7196857375,92949781670.49161,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA AURO,15796850.933502477,586187709466.9556,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA CHRY,729610.8434287924,14797089439.362444,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA RADI,335379.97397593583,6257633106.45129,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA RUBR,411517.1144909322,3950648052.3821454,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA SPE.,3147.4871810847776,9933390.239253834,279,546,16145,3654480.4355109693,0
2010,FLA KEYS,SPA VIRI,3710100.570509931,85160934932.0568,279,546,16145,3654480.4355109693,0
2011,FLA KEYS,CRY ROSE,732321.7708076261,31854969437.306858,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,NIC USTA,151959.5170445066,7635226899.631205,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA COEL,1082624.0971607438,122436817395.59201,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA COER,730362.5467360313,9737882055.605833,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA GUAC,493476.9800222868,15126302278.971264,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA ISER,39866581.413156375,5869388631142.973,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA SPE.,34772.23933388897,1211169746.5514858,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA TAEN,2729557.9942538273,80393887811.75432,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SCA VETU,203726.47656002257,2491646889.324861,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA ATOM,5726784.116036961,318110147302.7037,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA AURO,22022164.801721007,807128900524.1307,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA CHRY,1132372.2779737855,42702206673.21543,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA RADI,935477.4000928119,20945034701.882137,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA RUBR,710491.9535392915,9169228344.45761,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA SPE.,0,0,312,613,16145,3654480.4355109693,0
2011,FLA KEYS,SPA VIRI,5467023.279771972,114315773809.62924,312,613,16145,3654480.4355109693,0
2012,FLA KEYS,CRY ROSE,476319.8069082122,6456994795.899089,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,NIC USTA,37813.848551153395,407727083.862452,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA COEL,381573.8090089806,5843958877.776379,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA COER,812854.7332846276,17302738923.26593,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA GUAC,702410.4674126717,11096667688.268167,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA ISER,33603170.50785411,3431408122167.103,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA SPE.,19543.39694224381,147710813.07189676,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA TAEN,2326698.8732509012,198519200899.29593,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SCA VETU,268491.34269790375,2547960472.473195,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA ATOM,3074502.7782873637,82979619911.6794,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA AURO,21047938.385452494,750906054041.696,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA CHRY,2302189.8504037927,657351018990.7059,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA RADI,495605.6387863075,7253928715.501736,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA RUBR,1847207.0499478378,75809367307.76086,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA SPE.,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,SPA VIRI,5409045.626236525,97609524345.78563,302,587,16145,3654480.4355109693,0
2014,FLA KEYS,CRY ROSE,665777.4616566704,18726492130.375103,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,NIC USTA,46332.78438450954,1067285863.8324695,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA COEL,330528.34588095156,11137860078.345522,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA COER,1779335.4461828205,61782818911.69803,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA GUAC,716349.9003485551,15193310929.402197,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA ISER,38288583.07918691,7031935772781.522,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA SPE.,520983.0793343184,29195926601.93673,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA TAEN,2079631.846245643,118914682982.45718,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SCA VETU,200493.12513678698,2548049410.655434,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA ATOM,5468225.54774181,241876729577.0338,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA AURO,28439761.772806592,1550523383128.9558,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA CHRY,1214221.1517612545,20662169465.679485,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA RADI,554077.3707868513,12150087091.272041,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA RUBR,1310935.5227148442,29625593516.794785,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA SPE.,30043.540828217865,297765628.4260951,313,622,64574,3654140.9049657066,0
2014,FLA KEYS,SPA VIRI,9337114.461071681,455503635700.23224,313,622,64574,3654140.9049657066,0
2016,FLA KEYS,CRY ROSE,528949.860942828,12980676546.219881,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,NIC USTA,6267.801433817342,19343260.837145057,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA COEL,267079.67596427695,4662465886.364582,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA COER,1513101.6375938735,77770963223.92532,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA GUAC,1026116.9461763501,101299237212.42586,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA ISER,36599483.094457984,2804776444779.5337,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA SPE.,67772.03003152517,1968474511.801958,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA TAEN,4606509.999101687,239729448229.97406,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SCA VETU,121726.36584202315,647789646.9874189,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA ATOM,3797723.306902865,133304157510.25777,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA AURO,23351665.061184555,796324316743.5236,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA CHRY,1915219.2445562514,105370279326.78043,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA RADI,1015790.9344253694,19840690391.211193,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA RUBR,1469401.2935228234,45065430440.22687,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA SPE.,12307.028528286546,83378340.79840365,300,595,64574,3654140.9049657066,0
2016,FLA KEYS,SPA VIRI,7866227.696792165,242836101812.1077,300,595,64574,3654140.9049657066,0
2018,FLA KEYS,CRY ROSE,880108.8260250536,15121907223.16717,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,NIC USTA,54265.06621053116,423424919.4122338,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA COEL,173965.11930817727,1168502663.3834388,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA COER,777806.3340668471,16837020435.120049,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA GUAC,423283.38865243463,3462132414.50145,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA ISER,26971703.34879101,1678956087765.6611,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA SPE.,66514.95859608566,970405035.7823713,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA TAEN,2417858.170736671,75612039797.1096,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SCA VETU,183026.7419993656,2037677868.7391734,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA ATOM,3576740.861845811,87547294601.7187,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA AURO,13705066.723025534,415786720813.1359,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA CHRY,1594266.6132123044,26601707576.762554,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA RADI,960502.2698649737,17636464414.74426,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA RUBR,1730525.144947814,27572727654.68729,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA SPE.,361.6580701142328,130813.81003970673,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPA VIRI,4530955.767002824,107446638330.80977,321,627,64574,3654140.9049657066,0
2000,FLA KEYS,CRY ROSE,28369.30965985513,114617568.15522507,76,183,748,169312.56523767143,1
2000,FLA KEYS,NIC USTA,0,0,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA COEL,18609.322244914994,25920501.630636215,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA COER,32431.22523391999,51848555.25032697,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA GUAC,16878.219023175898,16692289.238940941,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA ISER,1702812.7475013898,23652671957.28636,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA SPE.,0,0,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA TAEN,22105.062382275755,45746692.58185749,76,183,748,169312.56523767143,1
2000,FLA KEYS,SCA VETU,66913.34295885294,239100822.51861492,76,183,748,169312.56523767143,1
2000,FLA KEYS,SPA ATOM,133396.262910742,865508572.1542863,76,183,748,169312.56523767143,1
2000,FLA KEYS,SPA AURO,566431.7113618249,2769205908.676742,76,183,748,169312.56523767143,1
2000,FLA KEYS,SPA CHRY,161559.52519189662,1915521672.4050357,76,183,748,169312.56523767143,1
